Product ID,Product name,Price (RON),Original Price (RON),Contents
1087,Cale galbene deluxe,691.2,691.2,{'Cale': 19}
10317,Confidential,606.6,606.6,"{'Trandafiri': 14, 'Trachelium': 9}"
10251,Buchet alb,475.2,475.2,"{'Trandafiri': 15, 'Garoafe': 20}"
10417,Mesagerul dragostei,619.2,619.2,{'Trandafiri': 21}
10344,Cosul primaverii,538.2,538.2,"{'Lalele': 20, 'Irisi': 19}"
10245,Buchet asortat,457.2,457.2,"{'Trandafiri': 7, 'Santini': 3, 'Crizanteme': 5}"
1079,Ginger cu dragoste,538.2,538.2,{'Ginger': 11}
10222,Buchet crini albi,277.2,277.2,{'Crini': 3}
10329,Un paste fericit,448.2,448.2,"{'Lalele': 8, 'Frezii': 6, 'Santini': 1}"
10207,Indemn idilic,538.2,538.2,{'Trandafiri': 25}
1048,Orhidee roz,358.2,358.2,{'Orhidee': 9}
10332,Lalele de paste,286.56,358.2,{'Lalele': 15}
10184,Leucadendron cu trandafiri,385.2,385.2,"{'Trandafiri': 9, 'Leucadendron': 6}"
10346,Cutie trandafiri albi,484.2,484.2,{'Trandafiri': 19}
10339,White passion,629.1,699.0,{'Trandafiri': 25}
10198,Impletire azonala,259.2,259.2,"{'Trandafiri': 5, 'Orhidee': 4}"
109,Exotism senzual,457.2,457.2,{'Orhidee': 15}
1049,Orhidee galbene,295.2,295.2,{'Orhidee': 9}
10268,Buchet trandafiri galbeni si portocalii,392.4,392.4,{'Trandafiri': 17}
10215,Diplomatie florala,403.2,403.2,"{'Trandafiri': 6, 'Cale': 4, 'Orhidee': 5}"
10343,Irisi si trandafiri,354.78,394.2,"{'Irisi': 15, 'Trandafiri': 10}"
10338,Red passion,629.1,699.0,{'Trandafiri': 25}
10348,Cutie trandafiri roz,484.2,484.2,{'Trandafiri': 19}
10349,Cutie trandafiri portocalii,484.2,484.2,{'Trandafiri': 19}
10347,Cutie trandafiri galbeni,484.2,484.2,{'Trandafiri': 19}
10361,Cos 15 trandafiri,448.2,448.2,{'Trandafiri': 15}
10383,Buchet flori Maria,502.2,502.2,"{'Trandafiri': 11, 'Crizanteme': 6, 'Santini': 3, 'Lisianthus': 3}"
10360,Buchet 75 trandafiri roz,1312.2,1312.2,{'Trandafiri': 75}
10362,Buchet fermecator,718.2,718.2,{'Trandafiri': 37}
10365,Cos lalele bicolor,299.0,299.0,{'Lalele': 25}
10396,Buchet 19 trandafiri albastri,448.2,448.2,{'Trandafiri': 19}
10367,Buchet de iarna,484.2,484.2,"{'Trandafiri': 17, 'Hipericum': 4}"
10389,Buchet bujori,412.2,412.2,{'Bujori': 11}
10373,Cutie 7 trandafiri galbeni,249.0,249.0,{'Trandafiri': 7}
10369,Buchet trandafiri si irisi,352.8,352.8,"{'Trandafiri': 10, 'Irisi': 15}"
10382,Buchet de sarbatori,610.2,610.2,"{'Trandafiri': 10, 'Lisianthus': 5, 'Gerbera': 5, 'Minirosa': 3}"
10394,Cutie insorita,412.2,412.2,"{'Floarea soarelui': 9, 'Lisianthus': 4}"
10395,Bujori cu pittosporum,448.2,448.2,{'Bujori': 9}
10391,Buchet 15 bujori roz,538.2,538.2,{'Bujori': 15}
10387,Buchet 99 lalele,1078.2,1078.2,{'Lalele': 99}
10393,Buchet 25 bujori,934.2,934.2,{'Bujori': 25}
10392,Buchet 15 bujori cyclam,538.2,538.2,{'Bujori': 15}
10388,Cos lalele si irisi,489.0,489.0,"{'Irisi': 20, 'Lalele': 29}"
10398,Trandafiri albi si rosii cu trachelium,2023.38,2248.2,"{'Trandafiri': 79, 'Trachelium': 10}"
10404,Buchet Martisor 7,179.0,179.0,{'Trandafiri': 7}
10390,Buchet 15 bujori albi,538.2,538.2,{'Bujori': 15}
10288,Buchet de Craciun,403.2,403.2,"{'Crini': 3, 'Trandafiri': 6, 'Hipericum': 4}"
10403,Buchet 101 lalele rosii,1086.62,1234.8,{'Lalele': 101}
10420,Buchet luxuriant,682.2,682.2,"{'Trandafiri': 21, 'Minirosa': 4, 'Hortensii': 2}"
10416,Buchet minirosa,430.2,430.2,{'Minirosa': 19}
10405,Buchet Martisor 11,279.0,279.0,{'Trandafiri': 11}
10411,Inima trandafiri albi si roz,599.0,599.0,{'Trandafiri': 25}
10406,Buchet Martisor 15,349.0,349.0,{'Trandafiri': 15}
10402,Buchet 101 lalele albe si rosii,1086.62,1234.8,{'Lalele': 101}
10407,Buchet Martisor 21,529.0,529.0,{'Trandafiri': 21}
10408,Buchet Martisor 25,629.0,629.0,{'Trandafiri': 25}
10410,Buchet 25 floarea soarelui,479.0,479.0,{'Floarea soarelui': 25}
10421,Buchet 100 Trandafiri Rosii si 1 Trandafir Alb,1650.78,1834.2,{'Trandafiri': 101}
10419,Buchet insorit,268.2,268.2,"{'Floarea-soarelui': 5, 'Crizanteme': 3, 'Hypericum': 3}"
10424,Buchet 25 irisi mov,358.2,358.2,{'Irisi': 25}
10426,Buchet 9 hortensii mix,772.2,772.2,{'Hortensii': 9}
10437,Cadou Trio Love,369.0,369.0,"{'Trandafiri': 11, 'Spumant': 1, 'Raffaello': 1}"
10436,Buchet 49 alstroemeria,988.2,988.2,{'Alstroemeria': 49}
10433,Buchet 7 fire hortensie alba,646.2,646.2,{'Hortensii': 7}
10431,Buchet 5 hortensii roz,466.2,466.2,{'Hortensii': 5}
10428,Buchet 5 hortensii,466.2,466.2,{'Hortensii': 5}
10429,Buchet 3 hortensii roz,286.2,286.2,{'Hortensii': 3}
10430,Buchet 3 hortensii albe,286.2,286.2,{'Hortensii': 3}
10435,Buchet 21 trandafiri galbeni,453.6,453.6,{'Trandafiri': 21}
10432,Buchet 7 hortensii albastre,646.2,646.2,{'Hortensii': 7}
10427,Buchet 3 hortensii colorate,286.2,286.2,{'Hortensii': 3}
