Product name,Price (RON),Contents
Buchet cu crizantema roz si alstroemeria galbena,159,"{'Crizantema': 3, 'Alstroemeria': 6}"
Buchet cu trandafiri si hypericum,229,"{'Trandafir': 7, 'Hypericum': 5, 'Crizantema': 3}"
"Buchet cu gerbera, alstroemeria si crizantema ",169,"{'Gerbera': 5, 'Alstroemeria': 3, 'Crizantema': 3}"
Buchet cu flori portocalii si roz,299,"{'Minirosa': 8, 'Minigerbera': 7, 'Limonium': 3, 'Alstroemeria': 3}"
"Buchet cu lalele, trandafiri, anemone",319,"{'Trandafir': 7, 'Lalea': 10, 'Anemone': 8}"
"Buchet cu orhidee, trandafiri, hypericum si gerbera",269,"{'Trandafir': 4, 'Cupe': 6, 'Gerbera': 5, 'Hypericum': 5}"
Buchet cu 15 trandafiri rosii,269,{'Trandafir': 15}
Buchet de flori 25 de lalele,245,{'Lalea': 25}
Buchet cu 101 trandafiri roz ,1199,{'Trandafir': 101}
Buchet cu 101 trandafiri,1299,{'Trandafir': 101}
buchet de flori cu antininium ,399,"{'Anthurium': 29, 'Monstera': 4}"
19 bujori cu eucalipt ,535,{'Bujor': 19}
Buchet cu trandafiri rosii si irisi,289,"{'Trandafir': 13, 'Iris': 12}"
Buchet cu lalele si irisi,239,"{'Lalea': 13, 'Iris': 12}"
25 de trandafiri cu eucalipt,389,{'Trandafir': 25}
Buchet cu 5 trandafiri Freedom,159,{'Trandafir': 5}
"Buchet cu delphinium, iris, narcise si trandafiri si ranunculus",489,"{'Delphinium': 8, 'Trandafir': 6, 'Iris': 10, 'Narcisa': 8}"
Buchet cu lalele si frezii,279,"{'Frezia': 15, 'Lalea': 12}"
Buchet cu bujori si viburnum,299,"{'Bujor': 9, 'Viburnum': 2}"
Buchet cu 19 lalele,215,{'Lalea': 19}
"Buchet cu trandafiri , leucospermum, alstroemeria, anemone si lalele",449,"{'Trandafir': 7, 'Leucospermum': 3, 'Lalea': 7, 'Anemone': 6, 'Alstroemeria': 2, 'Clematis': 2, 'Anthurium': 3, 'Ammi': 2}"
Buchet colorat de primavara,419,"{'Trandafir': 6, 'Anemone': 4, 'Lalea': 8, 'Alstroemeria': 3, 'Cupe': 3, 'Mattiola': 4, 'Chamelaucium': 3, 'Greentick': 3}"
"Buchet cu lalele, ranunculus chamelaucium ",239,"{'Trandafir': 1, 'Lalea': 10, 'Ranunculus': 7, 'Chamelaucium': 2}"
"Buchet de primavara cu ranunculus, lalele si wax ",319,"{'Ranunculus': 5, 'Lalea': 10, 'Trandafir': 1, 'Wax': 3}"
Buchet cu trandafiri ranunculus si chamelaucium,449,"{'Trandafir': 19, 'Ranunculus': 16, 'Chamelaucium': 3}"
Buchet cu 39 trandafiri,525,{'Trandafir': 39}
"Buchet colorat cu liliac, bujori, narcise si frezii ",439,"{'Bujor': 7, 'Liliac': 3, 'Narcisa': 7, 'Frezia': 5}"
"Buchet cu minirose, trandafiri, chrisantema si bouvardia",259,"{'Minirosa': 5, 'Trandafir': 3, 'Crizantema': 3, 'Bouvardia': 3}"
Buchet cu flori galbene si portocalii,319,"{'Minirosa': 4, 'Crizantema': 3, 'Lalea': 5}"
Buchet cu flori roz,155,"{'Trandafir': 2, 'Alstroemeria': 2, 'Minigerbera': 2, 'Minirosa': 2, 'Gypsophila': 2}"
Buchet trandafiri gerbera crizantema si alstroemeria,195,"{'Trandafir': 3, 'Gerbera': 3, 'Alstroemeria': 3, 'Crizantema': 3, 'Solidago': 3}"
Buchet cu flori albe si verzi,229,"{'Trandafir': 3, 'Minirosa': 3, 'Germini': 3, 'Alstroemeria': 3, 'Crizantema': 3, 'Trachelium': 3}"
29 de lalele rosii si roz,249,{'Lalea': 29}
Buchet cu lalele galbene,219,{'Lalea': 25}
"cadou cu bujori, sampanie si bomboane",659,{'Bujor': 19}
buchet de primavara cu ranunculus si lalele duble,329,"{'Trandafir': 1, 'Ranunculus': 5, 'Lalea': 10, 'Chamelaucium': 3}"
"Buchet colorat cu frezii, irisi, crizantema, trandafiri",319,"{'Trandafir': 8, 'Crizantema': 5, 'Frezia': 10, 'Iris': 10}"
Buchet cu trandafiri si irisi,229,"{'Trandafir': 9, 'Iris': 10}"
"Buchet cu orhidee, minirose si bucle de aspidistra",239,"{'Cupe': 9, 'Minirosa': 4}"
Buchet parfumat cu 49 de frezii,410,{'Frezia': 19}
"Buchet cu trandafiri eryngium, astrantia si verdeata",209,"{'Eryngium': 3, 'Astrantia': 5}"
"Buchet cu lalele, matiola si greentrick",279,"{'Mattiola': 5, 'Greentick': 5, 'Lalea': 7}"
Buchet colorat cu flori de primavara,279,"{'Lalea': 17, 'Greentick': 5, 'Craspedia': 10, 'Frezia': 7}"
Buchet superb trandafiri rosii,399,"{'Trandafir': 25, 'Cordyline': 12}"
Buchet cu lalele lisiantus si eucalipt,225,"{'Lalea': 15, 'Lisianthus': 3, 'Bucle': 7}"
Buchet cu orhidee lalele astrantia,269,"{'Cupe': 8, 'Lalea': 10, 'Astrantia': 5, 'Aspidistra': 3}"
"Buchet de primavara cu lalele, anemone si frezii",269,"{'Lalea': 10, 'Anemone': 9, 'Frezia': 7}"
Buchet cu 13 trandafiri galbeni si bucle de cordyline,239,"{'Trandafir': 13, 'Frunze': 5, 'Eucalipt': 2, 'Ambalaj': 1}"
Buchet cu 25 trandafiri albi,329,{'Trandafir': 25}
buchet cu hortensie liliac bujori trandafiri si frezii ,399,"{'Hortensie': 1, 'Liliac': 3, 'Trandafir': 5, 'Bujor': 6}"
buchet de 39 lalele mov si albe,329,{'Lalea': 19}
Buchet cu lalele si anemone,269,"{'Lalea': 10, 'Anemone': 9, 'Cordyline': 7}"
Buchet cu 9 trandafiri roz si eucalipt,169,"{'Trandafir': 9, 'Eucalipt': 4, 'Ambalaj': 1}"
Buchet din cupe cymbidium,269,"{'Cymbidium': 1, 'Cordyline': 10, 'Ruscus': 4}"
Buchet cu orhidee cymbidium,259,"{'Cupe': 17, 'Ruscus': 4, 'Aspidistra': 6}"
Buchete trandafiri si lisianthus,239,"{'Trandafir': 5, 'Lisianthus': 5, 'Ruscus': 4, 'Salal': 10}"
Buchet cu trandafiri portocalii si frezii albe,399,{'Frezia': 20}
"Buchet u lalele, trandafiri, hypericum, anemone si alstroemeria",399,"{'Trandafir': 9, 'Lalea': 8, 'Hypericum': 5, 'Anthurium': 4, 'Anemone': 5, 'Alstroemeria': 3}"
Buchet cu minirose mov si frezia alba,329,"{'Minirosa': 10, 'Frezia': 15, 'Bucle': 6}"
Buchet cu trandafiri gerbera si garofite,219,"{'Trandafir': 8, 'Garofite': 5, 'Gerbera': 3, 'Limonium': 3}"
Buchet cu lalele rosii si minirose albe,259,"{'Lalea': 23, 'Minirosa': 3}"
"Buchet cu trandafiri, garoafe, crizanteme si hypericum",194,"{'Trandafir': 4, 'Garoafa': 5, 'Crizantema': 4, 'Hypericum': 3}"
buchet cu flori galbene si portocalii de primavara,279,"{'Trandafir': 6, 'Gerbera': 7, 'Narcisa': 10, 'Solidago': 4}"
buchet cu hortensie trandafiri orhidee si frezii ,239,"{'Hortensie': 1, 'Trandafir': 3, 'Alstroemeria': 3, 'Lalea': 2, 'Frezia': 2, 'Cupe': 2, 'Bucle': 3}"
aranjament cu flori portocalii rosii si albe,179,"{'Trandafir': 2, 'Frezia': 5, 'Hypericum': 2, 'Eustoma': 1, 'Cupe': 1}"
aranjament floral de primavara in cutie ,155,"{'Lalea': 4, 'Gerbera': 1, 'Trandafir': 2, 'Ranunculus': 1, 'Chamelaucium': 1, 'Boupleurum': 1}"
buchet cu trandafiri rosii si unul alb ,219,"{'Trandafir': 13, 'Bucle': 4, 'Pittosporum': 3}"
buchet cu 7 trandafiri portocalii ,169,"{'Trandafir': 7, 'Bucle': 4}"
101 trandafiri in cutie de catifea ,1349,{'Trandafir': 101}
aranjament floral in culori pale ,169,"{'Trandafir': 2, 'Lisianthus': 1, 'Santini': 1, 'Chamelaucium': 1, 'Garoafa': 2}"
aranjament floral de lux ,1599,"{'Protea': 2, 'Delphinium': 7, 'Viburnum': 4, 'Mattiola': 10, 'Minirosa': 10, 'Lisianthus': 10, 'Astilbe': 10, 'Chamelaucium': 3, 'Trandafir': 10, 'Planta': 1}"
aranjamente florale cu trandafiri gerbera garoafe ,210,"{'Trandafir': 5, 'Garoafa': 3, 'Gerbera': 4, 'Minirosa': 1, 'Chamelaucium': 1, 'Boupleurum': 1}"
cutie cu trandafiri galbeni si mov ,249,{'Trandafir': 13}
cutie catifea cu flori colorate ,168,"{'Trandafir': 3, 'Cupe': 2, 'Gerbera': 1, 'Chamelaucium': 1, 'Alstroemeria': 1, 'Greentick': 1}"
19 lalele galbene si albe ,179,{'Lalea': 19}
Aranjament floral in cutie cu hortensie bujori alstroemeria si trandafiri,329,"{'Bujor': 3, 'Hortensie': 1, 'Trandafir': 3, 'Alstroemeria': 3, 'Viburnum': 1}"
aranjament floral in vas cu trandafiri frezii si hortensie ,249,"{'Hortensie': 2, 'Trandafir': 7, 'Frezia': 4}"
Aranjament floral in cutie cu bujori orhidee hortensie ,420,"{'Hortensie': 1, 'Bujor': 6, 'Orhidee': 3, 'Trandafir': 4, 'Alstroemeria': 3, 'Lisianthus': 1}"
Aranjament floral piramidal in cutie ,259,"{'Hortensie': 1, 'Frezia': 3, 'Trandafir': 3, 'Lisianthus': 2, 'Minirosa': 2, 'Anthurium': 1}"
Aranjament floral cu trandafiri lalele hypericum si liliac ,279,"{'Trandafir': 7, 'Lalea': 7, 'Hypericum': 3, 'Liliac': 1, 'Astrantia': 3}"
Buchet cu lalele albe si roz ,199,{'Lalea': 19}
Cutie bloomeria cu lisiantus trandafiri si eryngium,359,"{'Trandafir': 10, 'Lisianthus': 5, 'Eryngium': 3}"
Cutie cu flori rosii ,415,"{'Trandafir': 13, 'Lalea': 10, 'Hypericum': 4}"
aranjament floral in nuante de toamna ,179,"{'Lalea': 3, 'Frezia': 3, 'Minirosa': 1, 'Lisianthus': 1, 'Gerbera': 2}"
aranjament cu flori roz mov si galbene ,155,"{'Frezia': 3, 'Lalea': 3, 'Gerbera': 3}"
Cos cu lalele minirose ranunculus alstroemeria,199,"{'Lalea': 4, 'Ranunculus': 3, 'Minirosa': 1, 'Trandafir': 1, 'Alstroemeria': 1, 'Greentick': 1}"
"aranjament floral cu hortensie, lisianthus, lalele si veronica  ",299,"{'Hortensie': 1, 'Lisianthus': 2, 'Lalea': 6, 'Trandafir': 3, 'Veronica': 4, 'Boupleurum': 2}"
cutie cu flori deosebite,519,"{'Bujor': 5, 'Protea': 1, 'Lalea': 7, 'Ranunculus': 3, 'Minirosa': 2, 'Greentick': 3, 'Trandafir': 3}"
cos cu lalele galbene si zambile,175,"{'Lalea': 11, 'Zambila': 2}"
aranjament floral de primavara in cos,175,"{'Zambila': 3, 'Lalea': 4, 'Frezia': 4, 'Chamelaucium': 1, 'Cupe': 1}"
aranjament in cutie de flori colorate de primavara,329,"{'Trandafir': 3, 'Minirosa': 2, 'Tija': 1, 'Hortensie': 1, 'Lisianthus': 1, 'Zambila': 2, 'Lalea': 5, 'Alstroemeria': 2}"
"aranjament cu hortensie, bujori, trandafiri, frezii si orhidee vanda ",449,"{'Hortensie': 1, 'Bujor': 3, 'Trandafir': 5, 'Lalea': 5, 'Frezia': 5, 'Cupe': 5, 'Greentick': 5}"
cutie cu 35 de lalele colorate,349,{'Lalea': 35}
cosulet cu flori de primavara,167,"{'Lalea': 7, 'Zambila': 2, 'Chamelaucium': 1}"
"statue venus cu lisianthus, lalele si wax ",289,"{'Lisianthus': 2, 'Crizantema': 2, 'Lalea': 3, 'Boupleurum': 2, 'Chamelaucium': 2}"
"Aranjament floral cu hortensie, trandafiri, veronica si lalele ",229,"{'Trandafir': 3, 'Hortensie': 1, 'Veronica': 3, 'Lalea': 3, 'Greentick': 3, 'Frezia': 3, 'Lisianthus': 1}"
Cutie cu flori colorate de primavara,155,"{'Lalea': 3, 'Narcisa': 3, 'Gerbera': 3}"
"Aranjament floral in cos cu vanda, lalele, trandafiri si gerbera",225,"{'Gerbera': 3, 'Cupe': 2, 'Lalea': 6, 'Trandafir': 3}"
"Aranjament floral in cutie cu bumbac, orhidee, alstroemeria si lisiantus",159,"{'Alstroemeria': 1, 'Lisianthus': 1, 'Cupe': 3}"
