Product ID,Product name,Competitor Price (RON),Original Price (RON),Contents,Price N (RON),Difference,Difference (%)
10188,Mix de primavara,439.2,439.2,"{'Crin': 3, 'Crizantema': 5, 'Garoafa': 12, 'Santini': 5}",177.0,-262.0,-0.5965391621129327
1060,Alstroemeria mov,331.2,331.2,{'Alstroemeria': 9},56.0,-275.0,-0.8303140096618358
10123,Crizanteme galbene,331.2,331.2,{'Crizantema': 9},83.0,-248.0,-0.748792270531401
1010,Trandafiri de lux,1780.2,1780.2,{'Trandafir': 99},1001.0,-779.0,-0.4375912818784406
1077,Buchet anthurium roz,385.2,385.2,{'Anthurium': 9},119.0,-266.0,-0.6905503634475597
10101,Buchet lalele roz,298.08,331.2,{'Lalea': 25},136.0,-162.0,-0.5434782608695653
10104,39 Trandafiri portocalii,727.2,727.2,{'Trandafir': 39},401.0,-326.0,-0.44829482948294824
10280,Contrast de dragobete,403.2,403.2,"{'Trandafir': 10, 'Frezia': 11}",166.0,-237.0,-0.5877976190476191
10153,Lux si eleganta,718.2,718.2,"{'Trandafir': 22, 'Crin': 5}",331.0,-387.0,-0.5388471177944861
10107,17 Trandafiri rosii,376.2,396.0,{'Trandafir': 17},181.0,-195.0,-0.518341307814992
1058,39 Trandafiri albi,718.2,718.2,{'Trandafir': 39},401.0,-317.0,-0.44138123085491504
10239,Privire aprinsa,453.6,453.6,"{'Trandafir': 9, 'Crizantema': 5, 'Trandafir tros': 5}",191.0,-263.0,-0.5798059964726631
1090,Buchet protea,313.2,313.2,{'Protea': 5},61.0,-252.0,-0.8045977011494253
10231,Trandafiri portocalii rotund,295.2,295.2,{'Trandafir': 11},121.0,-174.0,-0.5894308943089431
10185,Trandafiri Martisor,808.2,808.2,{'Trandafir': 39},401.0,-407.0,-0.5035882207374413
10100,Buchet lalele galbene,331.2,331.2,{'Lalea': 25},136.0,-195.0,-0.588768115942029
10189,Apus de soare,565.2,565.2,"{'Trandafir': 9, 'Gerbera': 9, 'Crin': 3}",215.0,-350.0,-0.619249823071479
1059,Alstroemeria portocalii,331.2,331.2,{'Alstroemeria': 9},56.0,-275.0,-0.8303140096618358
1052,Alstroemeria roz,331.2,331.2,{'Alstroemeria': 9},56.0,-275.0,-0.8303140096618358
1042,23 Trandafiri,469.8,469.8,{'Trandafir': 23},241.0,-229.0,-0.4874414644529587
10256,Buchetul Elena,403.2,403.2,"{'Crin': 3, 'Trandafir': 8}",151.0,-252.0,-0.625
10194,Crini asiatici portocalii,365.76,457.2,{'Crin': 7},151.0,-215.0,-0.587817147856518
10340,Duo passion,629.1,699.0,{'Trandafir': 25},261.0,-368.0,-0.5849626450484819
1046,23 Trandafiri roz,469.8,469.8,{'Trandafir': 23},241.0,-229.0,-0.4874414644529587
10112,Buchet de gelozie,331.2,331.2,{'Trandafir': 13},141.0,-190.0,-0.5736714975845411
10111,Buchet de iertare,313.2,313.2,{'Trandafir': 13},141.0,-172.0,-0.5491698595146871
10127,Gladiole galbene,250.56,313.2,{'Gladiole': 19},87.0,-164.0,-0.6545338441890166
1057,39 Trandafiri roz,718.2,718.2,{'Trandafir': 39},401.0,-317.0,-0.44138123085491504
10252,Buchet roz,475.2,475.2,"{'Trandafir': 15, 'Garoafa': 20}",221.0,-254.0,-0.5345117845117845
10154,Buchet amaryllis,304.2,304.2,{'Amaryllis': 5},111.0,-193.0,-0.6344510190664037
10305,Cos exclusive,1348.2,1348.2,"{'Trandafir': 29, 'Lalea': 25, 'Crizantema': 9}",498.0,-850.0,-0.6304702566384809
10200,Buchet trandafiri portocalii,529.2,529.2,{'Trandafir': 27},281.0,-248.0,-0.4686318972033257
10205,Inima de leu,385.2,385.2,"{'Trandafir': 5, 'Anthurium': 3, 'Gerbera': 3}",115.0,-270.0,-0.7009345794392523
10124,Crizanteme roz,331.2,331.2,{'Crizantema': 9},83.0,-248.0,-0.748792270531401
10110,Buchetul iubirii,403.2,403.2,{'Trandafir': 15},161.0,-242.0,-0.6001984126984127
10250,Buchet rosu,475.2,475.2,"{'Trandafir': 15, 'Garoafa': 20}",221.0,-254.0,-0.5345117845117845
10337,Cos iubaret,718.2,718.2,"{'Trandafir': 10, 'Gerbera': 10, 'Crizantema': 5, 'Garoafa': 20}",271.0,-447.0,-0.6223893065998328
